abhor	 …'を'ひどくきらう,嫌悪する 
swept	 sweep (掃く, 払う, 掃除する) の過去・過去分詞 
swift	 『速い』,快速の / (行動・反応などが)『即座』の,さっそくの;『す早い』,機敏な / 《おもに詩》つかのまの / 速く;す早く / アマツバメ(翼の長い鳥;高山や断崖に群棲) 
swine	 《米》《集合的に》豚(pig) 
swing	 (一定の動きで)…‘を'『振る』,揺り動かす / (一点を軸にして)…‘を'『回転させる』,ぐるりと回す / 〈棒など〉‘を'『振り回す』 / …‘を'向きを変える / 〈物〉‘を'『つるす』,掛ける / 《米話》〈取引きなど〉‘を'うまく処理する,思いどおりに操る / (…から別の意見・立場などに)…‘を'変える《+from+名+to+名》 / 《副詞[句]を伴って》(一定の動きで)『揺れる』,揺れ動く;ぶらんこに乗る / (一点を軸にして)『回転する』,ぐるりと回る / (大きく弧を描くように)(…を)打つ《+at+名》 / (…の方に)向きを変える《+on(onto,to,into)+名》 / のびのびと調子よく歩く,活動的になる / 《話》(…のことで)絞首刑になる《+for+名》 / (別の意見・立場などに)変わる《+to(toward)+名(doing)》 / 《話》〈音楽が〉スイング風である(に演奏する) / 〈C〉〈U〉(一定の動きを伴う)揺れ,振動;(ある方向への)揺れ動き《+toward+名》 / 〈C〉振幅 / 〈C〉『ぶらんこ』;ぶらんこ遊び / 〈U〉《しばしば a~》リズミカルな動き(歩き方) / 〈C〉(…を)大きく振ること,打つこと《+of+名》 / 〈U〉活動の自由 / 〈U〉スイング(1930‐40年代のジャズのリズム) / 〈C〉各国・各大陸を飛び歩く 
swipe	 大振りの打撃,強打 / …‘を'大振りで打つ,強打する / 《話》…‘を'盗む,かっぱらう / (…を)強打する《+at+名》
swirl	 うず巻く,旋回する / …‘に'うず巻きを起こす;…‘を'旋回させる / 旋回すること,回転 / (水・ほこりなどの)大量のうず《+of+名》 / うず巻き形;巻き飾り;巻き毛 
sword	 『刀』,剣 / 《the ~》武力,兵力
swore	 swear の過去 
sworn	 swear の過去分詞 / 誓った,契った / 宣誓による 
swung	 swing の過去・過去分詞 
sylph	 空気の精 / ほっそりした美しい女
synod	 教会会議 
syrup	 シロップ(砂糖や果汁を煮詰めて作る甘い汁) / (薬用の)シロップ剤
table	 〈C〉『テーブル』,食卓;(仕事・遊戯などの)台 / 〈U〉《時にa~》食べ物,料理 / 《集合的に》テーブルを囲む人々,一度の人々 / 〈C〉(文字・数字,情報などの並べた)『表』,配列表,目録 / =tableland / …‘を'表にする / 《おもに米》〈議案など〉‘を'棚上げにする,見送る / 《英》〈議案など〉‘を'審議に付す
tabor	 テイバー(昔,竪笛の伴奏に用いたタンバリンに似た小太鼓) 
tacky	 ねばねばする(sticky) 
taken	 take の過去分詞 
talon	 (特に猛鳥の)つめ 
talus	 (くるぶしの)距骨;くるぶし,足首 
tamer	 (動物の)調教師 
tango	 〈C〉タンゴ(南米に発した踊り) / 〈C〉〈U〉タンゴの曲 / タンゴを踊る 
tangy	 (味が)ぴりっとする;においが強い 
tansy	 〈C〉コモギギク[属](小さな黄色い花の房をつける) / 〈U〉(薬用・食用の)ヨモギギクの汁
taper	 小さい先細のろうそく / しだいに先細になること / …‘に'先細にする;…‘を'次第に少なくする《+off+名,+名+off》 / だんだん細くなる,だんだん少なくなる《+off》
tapir	 バク(中南米・東南アジア産の有蹄動物) 
tardy	 《米》遅れた,遅刻した;(…に)遅れた《+for(at,in,to)+名》 / 遅い,遅々とした;(…が)遅い《+in(at)+名(doing)》
taupe	 暗灰色(茶・黄・紫色がかった灰色) / 暗灰色の
tawny	 黄褐色の 
teach	 〈物事・学科など〉‘を'『教える』,〈人〉‘に'教える / (…で)『教師をする』,教える《+at+名》
tempo	 (仕事・活動などの)速さ,調子 / テンポ,速度
tenor	 (…の)趣旨,要旨,大意《+of+名》 / (人生などの)行路,進路《+of+名》
tepid	 なまぬるい(lukewarm) / 熱意のない
thank	 (…のことで)〈人〉‘に'『感謝する,』礼を言う《+名+for+名(doing)》 
thegn	 =thane 
their	 『彼らの』,彼女らの,それらの 
thews	 筋肉 / 筋力,体力
thick	 『厚い』,分厚い;『太い』 / 《数量を表す名詞の後に用いて》『厚さ…の』,太さ…の / (液体・気体が)『濃い』,濃厚な / 『密な』,密生した,密集した / (なまりが)著しい,ひどい / (声が)はっきりしない,かすれた / (頭が)重い,ぼんやりした / 《話》ばかな,愚かな / 《話》親密な;(…と)親して《+with+名》 / 《補語にのみ用いて》(…で)いっぱいの,満ちた《+with+名》 / 『厚く』,分厚く,濃く,密に / 《the ~》(…)最も厚い(太い,濃い,密な)部分《+of+名》 / 《the ~》(活動などの)たけなわ,まっただ中《+of+名》 
thief	 『泥棒』,(特に)こそどろ,空き巣 
thine	 《thouの所有格》なんじの / 《thouの所有代名詞》なんじのもの(yours)
thing	 〈C〉(形のある)『物』,物体;(生物に対しての)『無生物』 / 〈C〉(形のない)『もの』,事,事柄,でき事 / 《複数形で》事情,事態,状勢,状況 / 《複数形で》(すべての)事物,事柄 / 《通例 the~》(努力・活動などの)目的,目標 / 〈C〉衣服,衣類・《one's things》持ち物,所持品,身の回り品 / 《複数形で》道具,用具・〈C〉《親愛・哀れみ・軽べつなどの感情をこめて》人,者,やつ / 《the~》《話》(…の)流行《+in+名》
think	 『…‘を'考える』,心に抱く,想像する,思い描く / …‘と'『思う』,信じる,判断する:《think+that 節…であると思う》 / 『…‘を'企てる』,もくろむ / 《英》…を予期する / 《しばしば think oneself の後に形容詞・副詞[句]を伴って》考えて…の状態にする / 『考える』,思う;思案する,熟考する;予期する / (…について)考えること,一考《+about+名》 / 思考の,思考を促す
third	 《the ~》『第3番目の』,3番目の / 3分の1の / 《the ~》『第3』,3番目[のもの],(月の)『3日』 / 〈C〉『3分の1』 / 〈C〉(音楽で)3度[音程] / 〈U〉(自動車などの)サード(第3速)[ギア] / 第3に,3番目に 
thole	 かい座ビン(ボートのへりにさし込んであるオール受け)　船の櫓べそ　かい受け軸　瓶　栓 
thong	 (サンダルやむちなどに使う)革ひも 
thorn	 〈C〉(植物の)『とげ』,針:No / 〈C〉〈U〉《複合語を作って》とげのある植物
those	 『それ[ら]』,あれ[ら],あの人たち / 《複数名詞の反復を避けて》(…の)『それ』《+of+名》 / 《those who…の形で》(…である,…する)『人たち』 / 『あれらの』,あの,それらの,その / 《those…who(which)…の形で》(…するような,…であるような)『そんな』 
threw	 throw の過去 
throb	 〈心臓が〉『動悸を打つ』,どきどきする;〈傷などが〉『ずきんずきんする』 / (一定のリズムで)反響する,響く / 動悸 / 響く音,鼓動する音
throe	 《おもに文》激痛;(死ぬような)苦しみ;陣痛 / (…とり)苦闘《+of+名(doing)》
throw	 …‘を'『投げる』,ほうる / (…に)…‘を'『投げつける』,〈ミサイル・弾丸など〉‘を'発射する《+名+at+名》 / 《副詞[句]を伴って》〈相手〉‘を'投げ倒す,振り落とす / (…に)〈光・影〉‘を'投げかける,浴びせる,向ける《+名+on(over)+名》 / 〈視線・言葉など〉‘を'投げる,投げかける / 《副詞[句]を伴って》(ある場所・位置・状態に)…‘を'投げ込む;…‘を'急に(…の)状態に落とし込む / …‘を'急いで着る(脱ぐ)《+on(off)+名,+名+on(off)》;(…に)…‘を'さっと掛ける《+名+over+名》 / 《副詞[句]を伴って》〈手・足など〉‘を'ぐいと動かす / 〈声〉‘を'張り上げる;(腹話術で)〈声〉‘を'別の場所から聞こえてくるように思わせる / 〈スイッチ・連結レバー〉‘を'動かす / 〈陶器〉‘を'ろくろにかけて形造る / 〈家畜が〉〈子〉‘を'産み落とす / 《話》〈パーティーなど〉‘を'催す / 《米話》〈試合・勝負事〉‘を'投げる,わざと負ける,八百長で負ける / 《俗》〈人〉‘を'仰天させる,めんくらわせる / 投げる,ほうる / 『投げること』,投球;発射 / 投げて届く距離,射程 / ショール,スカーフ,えりまき 
thrum	 =strum / 〈テーブルなど〉‘を'指でコツコツたたく / =strum / (テーブルなどを)指でコツコツたたく《+on+名》 / 〈大型機械が〉低いうなり音をたてる / つま弾くこと(音);コツコツ[擬声音]
thumb	 『親指』;(手袋などの)親指の部分 / 〈本のページ〉‘を'親指でめくる / 《話》〈ヒッチハイカーが〉〈便乗〉‘を'親指を立てて頼む / ヒッチハイクする
thump	 <人>‘を'『ゴツンとたたく』,『ドンと打つ』 / <こぶし・頭など>‘を'ゴツンとぶつける / (…を)ゴツン(ドン)とたたく《+on(at,against)+名》 / <心臓などが>どきどきする / ゴツン,ドシン,どさっ;ゴツン(ドシン)と打つこと / ゴツン(ドシン)と
thyme	 タイム(ハッカの類の植物;芳香のある葉を香味料にする) 
tidal	 潮の;潮の作用を受ける;潮の干満のある 
tiger	 『トラ』 / トラのようにどう猛な(勇敢な)人
tilde	 スペイン語で n の上につけてる記号（「ニャ」とか「ニョ」といった音を表す）・波形符号、波形ダッシュ・= swung dash 
timer	 (作業・競技などの)時間記録係,計時員 / 秒時計,ストップウォッチ / ある決められた時間に機械,器具などが動くように制御する装置,タイマー 
times	 …掛ける 
tinge	 (…の)『薄い色合い』《+『of』+『名』》 / 『ほんの少し』(の…),(…の)気味《+of+名》 / (…で)…‘を'『薄く色づける』《+名+with+名》 / (…で)…‘に'軽く味(におい)をつける
tipsy	 ほろ酔いの,千鳥足の 
tired	 『疲れた』 / 《補語にのみ用いて》『飽きた』,うんざりした;(…に)飽きた《+of+名(doing)》 / (文句などが)陳腐な 
toady	 おべっか使い,追従者 / (…に)おべっかを通う《+to+名》
today	 『きょう[は]』,本日[は] / 『現代では』,今日では / 『きょう』,本日 / 『現代』,今日
token	 (…の)『しるし』,象徴《+of+名》 / (…の)『記念品』,形見《+of+名》 / (また token coin)代用硬貨(バスや地下鉄などで切符の代りに用いられるもの) / 名(形)ばかりの,ほんのわずかの
tonal	 音の;色調の 
tongs	 ものをはさむ道具,…はさみ 
tonic	 強壮剤;養毛剤,ヘアトニック / (精神的に)元気付けるもの / =tonic water / 主音(音階の中心となる第1音) / 強壮にする,元気付ける / 音調の / (音楽で)主音の 
topaz	 黄玉(おうぎょく);〈C〉(宝石の)トパーズ 
topic	 (…の)『話題』;論題《+of+名》 
toque	 トーク(羽飾りつきの縁なし,または狭い縁つきの小さい婦人帽) 
torah	 (ユダヤ教の)[全]律法 / 《the Torah》モーセの五書
torch	 『たいまつ』 / 《米》(はんだ付けなどに用いる)トーチランプ(《英》blowlamp)・《英》=flashlight・《比喩的に》(…の)火,光,光明《+of+名》・「carry a torch for誰々」または「carry the torch for 誰々」で「誰々に片思いする」
touch	 〈人が〉(手・指などで)…‘を'『さわる』,‘に'触れる《+名+with+名》 / (…に)…‘を'触れさせる,あてがう《+名+to+名》 / 〈物が〉…‘に'触れている,‘と'接触している / …‘を'『感動させる』,の感情を動かす / 《文》〈事が〉…‘に'『影響する』,関係する,かかわる(concern) / 《通例否定文で》〈飲食物〉‘に'手をつける;〈道具など〉‘を'使う / 《しばしば受動態で》(かすかに)…‘に'色合いをつける / (軽く)…‘を'害する,いためる / 《通例否定文で》…‘に'匹敵する,‘と'肩を並べる / 〈船などが〉…‘に'立ち寄る,寄港する / 《俗》《+名+for+名》(金銭などを)〈人に〉‘に'せびる,借りる / さわる,触れる,接触している / (港などに)〈船などが〉立ち寄る,寄港する《+at+名》 / 〈U〉『触覚』,触感 / 〈C〉《単数形で》(物の)感触,手ざわり / 〈C〉『さわる(触れる)こと』,さわられること / 〈U〉《しばしばa ~》(…の)『気味,微候』,気配《+of+名》 / 〈C〉少量,少しばかりの(の…)《+of+名》 / 〈C〉(作品仕上げの)手入れ,一筆 / 〈U〉《しばしばa ~》(作家などの)筆法,作風 / 〈U〉《しばしばa ~》(ピアノ・タイプライターなどの)指運び,たたき方,タッチ 
tough	 (物が)『じょうぶな』 / (肉などが)『堅い』 / (体が)『屈強な』,じょうぶな,(人が)粘り強い,タフな / (法などが)融通のきかない,(人・意志が)がんこな / 『骨の切れる』,やっかいな / 《米》粗暴な / 《話》不幸な,不運な,つらい / よた者,ごろつき,無法者
towel	 『タオル』,手ぬぐい,手ふき / …‘を'タオルでふく
tower	 『塔』,タワー / (…の上に)ひときわ高くそびえる,(力・才能などが)ぬきんでている《+above(over)+名》
toxic	 毒性の,有毒な / 毒による
toxin	 (特にバクテリアの)毒素 
trace	 〈C〉〈U〉(過去に存在した人・物・事件などの)『跡』,形跡,痕跡;(人・動物・車などの通った)跡,足跡《+of+名》 / 〈C〉(…の)かすかなきざし,気味,微量《+of+名》 / 〈C〉(記録計器の描く)線 / …‘の'『跡をつける』,‘を'追跡する,〈足跡など〉‘を'たどる / (…まで)…‘の'由来(起源,原因など)をさかのぼる《+名+back(+back+名)+to+名》 / (複写紙などを使って)…‘を'『[線をたどって]書き写す』 / 〈線・図形〉‘を'『描く』《+out+名,+名+out》 / 〈文字〉‘を'ていねいに書く / '‘を'捜しあてる,見つけ出す / (…に)『さかのぼる』《+back to+名》
track	 《しばしば複数形で》(車・船などの)『通った跡』,(人・動物の)『足跡』 / (人・獣などが通ってできた)『小道』 / 進路,航路 / (行動において)採るべき道,方針,人生航路 / 線路 / (競走のために設けられた)走走路,トラック;《集合的に》トラック競技 / (録音テープの)音帯 / …‘の'『跡をつける』,〈足跡〉‘を'たどる;〈動物〉‘の'臭跡を追う / 〈記録計の針が〉…の進路(軌道)を観察記録する;〈カメラが〉〈被写体〉‘を'追いかけて写す / 〈泥・雨など〉‘の'跡を付ける;〈床など〉‘に'足跡を付ける《+up+名,+名+up》
trade	 〈U〉『商業』,商売 / 〈C〉交換 / 〈C〉〈U〉『職業』 / 〈U〉《the trade》《集合的に》堂業者 / 〈U〉《the trade》…業[界] / 〈U〉《形容詞[句]を伴って》売り上げ高;《集合的に》顧客,得意先 / 《the trades》《話》=trade wind / (…を)『売買する,商う』《+in+名》 / 交換する / (…と)商売を営む,貿易をする《+with+名》 / (人と)〈物〉‘を'『交換する』《+名〈物〉+with+名〈人〉》;(物と)〈物〉‘を'交換する《+名〈物〉+for+名〈物〉》 
trail	 …‘の'『後について行く』(follow) / …‘を'『引きずる』,引きずって行く / 〈人・動物〉の跡をつける,追跡する(pursue) / 〈衣服のすそなどが〉引きずる《+along(behind)》;(…の後を)引きずる《+behind+名》 / 〈人が〉のろのろと(足を引きずるようにして)歩く《+along(behind)》;(…の後を)のろのろと歩く《+『behind』+『名』》 / 〈植物が〉(地面・かきなどを)はう / (試合・競走などで)負けている / 〈雲・煙などが〉たなびく / (動いているものが)後に残したもの(煙・ほこりなど),(長く続く人・車などの)流れ / (人・動物などの)足跡,跡に残したにおい,臭跡 / (荒野などに自然にできた)小道,(踏みなされた)道 
train	 〈C〉『列車』,(練結された)汽車,電車 / 〈C〉(人・車などを長く続く)列,行列 / 〈C〉(衣服の長く引く)すそ,もすそ / 〈U〉〈C〉《集合的に》従者,随員団 / 〈C〉(事件・考えなどの)連続《+of+名》;(事件などの)結果,余波 / 〈C〉(歯車などを数個組み合わせた)列 / 〈C〉遵火線,口火 / 〈人・動物〉‘に'『教え込む』,‘を'訓練する,しつける / 〈専門家〉‘を'養成する / 〈植物〉‘を'整枝する,仕立てる / (…に)〈銃砲・望遠鏡・カメラなど〉‘を'向ける,ねらう《+名+on(upon)+名》 / 訓練を受ける,練習する:《train for+名…に備えて訓練する》
tramp	 《様態・場所などを表す副詞[句]を伴って》『ドシンドシンと歩く』 / (…を)踏みつける,踏みつぶす《+on(upon)+名》 / 《場所を表す副詞[句]を伴って》足を踏みしめて歩く / 《副詞[句]を伴って》…‘を'踏みつける / …‘を'踏みしめて歩く / 〈U〉《the ~,時にa ~》『重い(ドシンドシンという)足音』 / 〈C〉長い徒歩旅行 / 〈C〉浮浪者,ルンペン / (また tramp steamer)〈C〉不定期貨物船 / 〈C〉ふしだらな女
trash	 価値のないもの,役に立たないもの / 《米》廃品,くず,ごみ / くだらない話,駄作,ばかげた考え / 《米》人間のくず,役立たず
trawl	 (また trawl net)トロール網,底引き網 / (また trawl line)《米》はえなわ(多数の釣り針を付けた漁具の一種) / トロール網を引く;《米》はえなわで釣る 
tread	 …‘を'『踏んで通る』,踏みしめて歩く / 《副詞[句]を伴って》…‘を'『踏みつける』,踏んで…にする / 『歩く』,行く / (…を)『踏む』,踏みつける,踏みつぶす《+on(upon)+名》 / 〈U〉《しばしば a~》『踏む(歩く)こと』;歩きぶり,足取り / 〈C〉(階段・はしごの)踏み板,段 / 〈C〉〈U〉(靴の)庭;足の裏(土踏まず以外の部分) / (タイヤ・車輪などの)接地部,踏み面
trend	 (…に向かう)『傾向』,すう勢,流行《+toward+名》 / (川・道路などの)向き / 《方向を表す副詞[句]を伴って》(ある方向へ)〈川・道路などが〉向かう / (ある方向に)〈事態・考えなどが〉向かう傾向がある《+to(toward)+名》
trews	 (スコットランド兵士がはく)細身の格子じまのスボン 
triad	 《まれ》三つ組,三人組 / 三和音/中国（人）の秘密結社
trial	 〈U〉〈C〉『裁判』,公判,審理 / 〈U〉〈C〉(…の)『試験』,ためし《+of+名》 / 〈C〉企て,試み;努力 / 〈C〉(忍耐・徳・信仰などをためす)試練,苦難 / 〈C〉困りもの,迷惑な(やっかいな)人(もの) 
tribe	 《集合的に》《単数・複数扱い》『部族』 / 《しばしば軽べつして》(…の)仲間,集団,連中《+of+名》 / (動植物の)族(family(科)と genus(属)の間の分類単位) 
trice	 瞬間 
trick	 『芸当』,妙技;手品,奇術 / (物事をする)秘けつ,こつ,技,巧みなやり方《+of+名(doing)》・(相手を欺こうとする)『たくらみ』,策略,ごまかし・(特に視覚・聴覚などを欺く) 幻影, 幻覚 / 『いたずら』,悪さ,悪ふざけ・卑劣な(ばかげた,幼稚な)行為 / (態度・言葉などの)癖,習慣《+of+名(doing)・(カードゲームの)トリック(一巡に打ち出された札;通例4枚で得点の基礎となる) ・(船員などの)一交替勤務時間・芸当(曲芸,奇術)の;(映画などの)トリックの・錯覚を起こす,迷わせる・芸当(曲芸,奇術)に用いられる・(体など)よく動かない・〈人〉‘を'『だます』,欺く;〈人〉‘に'手品のトリックを仕掛ける・売春婦のひと仕事・売春婦から見た「客」
tried	 tryの過去・過去分詞 / 試験ずみの;信頼できる
trike	 tricycle 
trine	 3重の,3倍の,3層の 
tripe	 (牛の)第一胃(食用) / 《話》くだらない話(意見,作品など)
tromp	 =tramp 
trope	 修辞[的表現] 
trove	 =treasure-trove 
truce	 休戦,停戦;休戦(停戦)協定 
truck	 『運搬車』,手押し車,トロッコ / 《おもに米》『トラック』,貨物自動車《英》lorry) / 《英》無蓋貨車 / …‘を'トラックで運ぶ(に積む) / トラックを運転する 
truly	 『偽りなく』,心から / まことに,全く(indeed);ほんとうに,実に(really) / 正確に,寸分違わず(exactly) 
trump	 〈C〉(カードの)切り札:play a(one's)trump 切り札を出す / 《複数形で》切り札の組 / 〈C〉《話》りっぱな人,頼りになる人 / 〈札〉‘を'切り札で取る / 切り札を出す 
trunk	 (枝および根と区別して樹木の)『幹』 / (人・動物の)胴体 / 『トランク』旅行用箱型の大型かばん) / 象の鼻 / 《複数形で》(文泳などスポーツ競技用の)男子用パンツ,チランクス / 《米》(自動車後部の)荷物入れ,トランク(《英》boot) / =trunk line 
tuber	 塊茎(ジャガイモのような塊状の地下室茎) 
tulip	 『チューリップ』 / その花;その球根
tumid	 (体の一部などが)ふくれあがった / (言語などが)大げさな,誇張した
tuner	 (ピアノなどの)調律師 / (ラジオ・テレビの)チューナー,同調器
tunic	 チュニカ(古代ギリシア・ローマで男女が用いたひざまである半そでまたはそでなしの上着) / (ゆったりしたそでなしの)チューニック(婦人用スポーツ服,女子学生の制服などに用いる) / 《英》軍人・警官などが制服として着る一種の上着 
twain	 二つ(二人,2個;対) 
twang	 (弦楽器・鉄線などをはじいた時の)鋭く響く音,ブーンと鳴る音 / 鼻にかかった声,鼻声 / …に鋭い振動音を出させる,をブーンと鳴らす / 〈弦などが〉ブーンと鳴る
tweak	 〈耳・鼻〉‘を'つまむ,ひねる / (耳・鼻を)引っ張ること,ひねること
twerp	 くだらないやつ,見下げはてたやつ 
twice	 『2回』,2度 / 『2倍[に]』
twine	 『より糸』,よりひも;麻糸,麻ひる / より合わせ,編み合わせ;からみつき / …‘を'『より合わせる』,編む;(…に)…‘を'より合わせる《+名+into+名》 / (…に)…‘を'からみつかせる《+名+around(about)+名》 / (…に)『からむ』(+around(about)+名》 
twirl	 …‘を'くるくる回す,振り回す / …‘を'ひねくり回す,いじくり回す / くるくる回る / くるくる回すこと;くるくる回すこと
twirp	 =twerp 
tying	 tie の現在分詞 
ukase	 (帝政ロシアの)勅令 / (絶対者・専政者の)命令,布告
ulcer	 潰瘍 
ultra	 極端な,過激な(extreme) / 極端主義者,過激論者
umbel	 散形花序 
umber	 アンバー(黄褐色の天然鉱物顔料) / こげ茶色 / こげ茶色の 
umbra	 本影(日食・月食で太陽光線がさえぎられてできる地球または月の影の部分) / (一般に)影にかった部分,影
umiak	 ウミアック(エスキモーの木製皮張りの舟) 
unbar	 〈戸・門〉‘から'かんぬきを抜く / 《比喩的に》…を開く
uncap	 …‘の'帽子をとる;…‘の'ふた(あおい)を取る 
uncle	 『おじ』 / おばの夫 / 《話》(年輩者に)おじさん,おっさん 
under	 《下方の場所・位置》『…の下に』,に覆われて / 《内部の位置》『…の内側に』,の下に / (重荷・苦痛など)『を負って』,に圧迫されて / (支配・保護・影響など)『…を受けて』,のもとで,の状態で / 《受動状態の継続》『…中』 / (分類項目)『の中に』,に属して / (地位・数量などが)『…に劣る』,より下の / (行動などの基準)に従って,基づいて / 『下へ』,下に / 下位に,抑圧されて,従属して / 下の,下部の;下位の,劣った 
unfit	 《補語にのみ用いて》(物事が)『適当でない』,ふさわしくない / 適任でない,不適格な / (人が)不適当な,欠陥がある / (…に対して)〈人〉‘を'不適当(不適格)にする《+名〈人〉+for+名》
unfix	 …‘を'はずす,緩める / 〈心・気持ち〉‘を'ぐらつかせる
unify	 …‘を'一つにする,統一する,結束させる(unite) / …‘を'同一(一様)にする
unite	 …‘を'『結合させる』,一つにする / (結婚によって)…‘を'結びつける《+名+in+名》 / 〈性質・才能などを〉兼ね備える,あわせ持つ / 結合する
unity	 {U}『単一性,統一性』;{C}単一体,統一体 / {C}{U}(古典劇構成での)一致 / {U}(…との)『協調』,調和《+with+名》 
unrip	 …‘を'切り開く,引き裂く;〈織物・編物など〉‘を'ほどく　明らかにする 
unsay	 〈言ったこと〉‘を'取り消す,撤回する,言わなかったことにする 
unsex	 …‘を'性的能力を奪う,〈特に女性〉‘を'女らしくなくする 
untie	 〈結び目・包みなど〉‘を'解く,ほどく / (…から)…‘の'ひもを解いて放す;(…から)…‘を'放す,自由にする《+名+from+名》
until	 《継続の期限》『…まで[ずっと]』 / 《否定語の後に》『…までは[しない]』,…になって初めて[…する] / 《継続の期限》『…する時まで[ずっと]』 / 《結果》(…して)『ついに』 / 《否定の主節に対して》『…するまでは[…しない]』,…して初めて[…する](before) 
unwed	 (特に女性が)結婚していない,未婚の 
unzip	 …‘の'チャック(ジッパー)を開ける / チャック(ジッパー)が開く
upend	 …‘を'逆さまにする,逆さまに立てる / 《話》〈人〉‘を'やっつける
upset	 『…‘を'ひっくり返す』,転覆させる / 〈計画など〉‘を'『だめにする』,だいなしにする,狂わす / 〈人〉‘の'『心を乱す』,'を'ろうばいさせる / 〈体など〉‘の'調子を狂わせる / 《米》(競技などで)〈相手〉'を'思いがけなく負かす / ひっくり返った / (計画などが)だいなしの,狂った / 《捕語にのみ用いて》(精神的に)混乱した,ろうばいした / (体などの)調子がおかしくなった / 〈U〉〈C〉『転倒』,転落 / 〈C〉(計画.心などの)『混乱』,乱れ;(体の)不調 / 〈C〉《話》けんか / 〈C〉《米》(競技などでの)番狂わせ 
urban	 都市(都会)の / 都市に住む
urine	 尿,小便 
usage	 〈U〉(物の)『用い方』,用法 / 〈C〉〈U〉(言語の)『慣用[法]』,語法
usher	 (教会・劇場などの)『案内人』; (法廷などの)門衛 / 《米》(結婚式の)先導役 / (…へ)…を案内する《+名+to(into, in)+名》 
utile	 有益な,役に立つ 
vague	 (言葉・意味などが)『はっきりしない』,あいまいな / (考え・感じなどが)『ばく然としている』,ぼんやりした / (形・姿などが)『ぼやけた』,はっきりしない / 《名詞の前にのみ用いて》《通例最上級で》《話》ほんのわずかの,かすかな
valet	 (主人の身の回りを世話する男の)従者,従僕 / (ホテルで逆の衣服の世話をする)ボーイ / (スタンド式の)衣服掛け / 従者(ボーイ)として…‘に'仕える / 〈衣服〉‘の'世話をする 
valid	 (理論・理由などが)『妥当な』,しっかりした根拠のある / (契約・法律などが)『合法的な』,正式な手続きを踏んだ / (ある期間,またある条件のもとで)有効な 
valse	 ワルツ,円舞曲(waltz) 
value	 〈U〉(…の)『価値』,値打ち,有用性,重要性《+of+名》 / 〈U〉〈C〉(…の)『価格』,値段《+of+名》 / 〈U〉〈C〉《米》《修飾語句を伴って》(払った金銭に対する)正当な値打ち / 〈C〉(単語の)意味,意義 / 〈C〉値,数値 / 〈C〉音の長短 / 〈C〉色価,(色の)明暗の度 / 〈C〉《複数形で》(道義・倫理などの)価値基準,価値観 / (ある金額に)…‘を'『評価する』,見積もる《+名+at+名〈金額〉》 / …‘を'『高く評価する』,尊重する,重んじる
vapid	 おもしろくない,つまらない 
vasty	 =vast 
vatic	 予言者の,予言的な 
vault	 〈C〉(石・コンクリート・れんがなどでできた)『アーチ型天井』,『丸屋根』,丸天井 / 〈U〉《the ~》《詩》丸天井に似たもの,青天井,大空 / 〈C〉(特に貯蔵用に使われる)『地下室』 / 〈C〉(特に銀行などの)金庫宝,貴重品管理室 / 〈C〉(教会・墓地の)地下納骨堂 / 〈建物など〉‘に'丸天井をつける / 〈建物など〉‘を'丸天井様式にする 
vaunt	 (…を)自慢する,誇る《+of(about)+名》 / …‘を'自慢する,誇る / 自慢,誇り,ほめそやすこと 
vegan	 (肉・魚だけでなく卵・チーズ・ミルクを取らない)菜食主義者 
velar	 (比較変化なし)軟口蓋の / 軟口蓋と舌との接触により発音された / 軟口蓋 / 軟口蓋音
velum	 軟口蓋;(動物の)菌膜;(クラゲの)縁膜 
venal	 (人,人の行為・動機が)金で動かされる,金で自由になる,わいろのきく 
venom	 (ヘビ・サソリ・クモ・ハチなどの)毒,毒液 / 悪意,恨み,憎悪
verso	 (本の)左ページ 
vetch	 ソラマメ,ヤハズエンドウ,カラスノエンドウ 
viand	 《通例複数形で》《大げさに》食物;ごちそう 
vibes	 《通例単数扱い》=vibraphone / 《複数扱い》=vibration
vicar	 (英国国教の)教区牧師(rector以外の牧師でstipend を受ける) / (ローマカトリック教の)司教代理 / 《米》(監督教会の)会堂牧師 / 代理,代理者
video	 〈U〉テレビの映像 / 〈C〉テレビ / テレビ映像に関する / ビデオテープの
vinyl	 ビニール 
viola	 ビオラ(violin と cello の中間楽器) 
viper	 マムシ,毒蛇 / 意地の悪い人
viral	 ウィルスの;ウィルスが原因の 
vireo	 モズモドキ(アメリカ産の小型の鳴鳥) 
virtu	 〈U〉(美術品などの)優秀性,よさ,値打ち / 《集合的に》《複数扱い》美術品,骨とう品 / {U}美術品(骨とう品)に対する造詣(知識) = vertu 
virus	 ビールス,ろ過性病原体 
visor	 (帽子の)まびさし,ひさし / (かぶとの)面頬(顔,特に目を保護するために上げ下げできる部分) / (またsun visor)(車の運転席の)日よけ板 
vista	 通路(街路など)お通してみたながめ,見通し / 予想,展望;追想,回想;
vital	 《名詞の前にのみ用いて》『生命の』,生命に関する(必要な) / 『生き生きしとた』,生気に満ちた,エネルギッシュな / 『きわめて重大な』,肝要な / 『命にかかわる』,致命的な / 生命維持に必要な器官(心臓・肺臓・脳など) 
vixen	 雌ギツネ / がみがみ女
vizor	 =visor 
vocal	 『声の』,音声の / 声に出す,口頭の / 《話》(意見などを)遠慮なくしゃべる,口やかましい / (ポピュラー歌手の)ボーカル
