have	 (また《話》『have got』)〈物〉‘を'『持っている』,所有している(進行形にできない)・(また《話》『have got』)〈親類・友人など〉‘が'『いる』,‘を'持っている,〈召使など〉‘を'かかえている;〈動物〉‘を'飼っている(進行形にできない) ・(また《話》『have got』)(特質・付属物として)…‘を'『備えている』,‘が'ある(進行形にできない) ・(また《話》『have got』)〈感情・意見など〉‘を'持つ,抱く(進行形にできない) ・《『have to』do》(また《話》『have got to』do)…『しなければならない』;《不定文で》…する必要がある・《『have to be』…》…に違いない・〈ある状態〉‘を'経験する,〈病気〉‘に'かかる / …‘を'食べる,飲む,〈たばこ〉‘を'吸う・《動作を表す名詞を目的語にして》《話》〈ある動作・行為〉‘を'する,行う・《『have』+『名』〈人〉+do》《しばしばwill, wouldと共に》〈人〉‘に'(…)させる,してもらう,される / 《『have』+『名』+『過分』》…‘を'(…)させる,される,してもらう・《+『have』+『名』+『形』(『名』,『過分』,do『ing』)〈補〉》…‘を'(…の)状態に保つ,(…の)ままにしておく(進行形にできない) / …‘を'得る,もらう,受ける(進行形にできない) ・〈人・動物が〉〈子〉‘を'産む,もうける・《通例否定文で》…‘を'許す,認める・(財産・社会的地位などを)持っている人;(資源・核兵器を)持っている国
lake	 『湖』 
shoe	 『靴』;《英》短靴 / 靴形の物;(馬の)てい鉄(horseshoe);(杖・棒の)石突き;(自動車の)タイヤの外包み;(ブレーキの )輪止め;(そりの)すべり金 / …‘に'靴をはかせる;〈馬〉‘に'てい鉄を打つ / …‘の'先端(表面)に金具をつける
copy	 〈C〉『写す』,複写,(絵などの)模写,複製;謄本,抄本 / 〈C〉(同一書籍・雑誌・新聞などの)『部,冊』 / 〈U〉(印刷の)原稿,草稿 / 〈U〉ニュースねた,原稿材料 / …'を'『写す,複写する』,模写する / …'を'まねた / (…から)…'を'こっそり写す,盗作する《+『名』+『from』(『off』)+『名』》 / (…から…へ)『複写する』《+『from』(out of』)+『名』+『into』+『名』》 / (…を)こっそり写し取る《+『from』(『off』)+『名』》 
wake	 『目を覚ます』(awake)《+up》 / 《文》目を覚ましたままでいる,寝ずにいる《+up》 / (…に)気づく,目覚める《+up to+名》 / 〈人〉‘の'『目を覚まさせる』,‘を'起こす(awaken)《+名+up,+up+名》 / 《比喩的に》(…に)…‘を'目覚めさせる,窪づかせる,活発にする《+up+名(+名+up)+to+名》 / (死者のために)通夜をする / 《おもにアイルランド・イギリス北部》通夜 
bone	 〈C〉骨 / 〈U〉骨を作っている物質,骨質 / 《複数形で》骨格;死骸(がい) / 〈魚など〉‘の'骨を取る
calm	 (海・湖などが)『穏やかな』,静かな;(天候などが)穏やかな / (心・態度などが)『平静な』,落ち着いた(composed) / ''を'『なだめる』,静かにさせる / 〈U〉〈C〉『静けさ』,平穏;無風,凪(なぎ) / 〈U〉平静,落ち着き,沈着 
swim	 『泳ぐ』,水泳をする / (水上・空中などに)浮かぶ / (水などの易体で)いっぱいになる,あふれる《+with+名》・(…に)浸る《+in+名》 / 〈物ず〉ぐるぐる回るように見える;〈頭などが〉くらくらする / 〈河など〉‘を'泳いで渡る,〈ある距離〉‘を'泳ぐ / 《副詞[句]を伴って》〈人など〉‘を'泳がせる;〈船〉‘を'浮かせる / 『泳ぐこと』, 
male	 『男性の』,男の;(動物が)雄の,(植物が)雄性の / 《名詞の前にのみ用いて》(機械・器具などが)雄の差し込み口のある / 『男性』;(動物の)雄,雄性植物 
skin	 〈U〉〈C〉(人・動物の)『皮膚』,肌 / 〈C〉〈U〉(動物からはいだ)『皮』,『毛皮』;皮製品,皮袋 / 〈C〉(果物・野菜の)皮 / 〈U〉〈C〉(液体の表面にできる)薄い膜,上皮 / 〈C〉(枠組み・表面などを覆う)外皮,外被,外板 / 〈動物・果物など〉‘の'皮をはぐ(むく) / 〈手・脚など〉‘を'擦りむく / 《話》(金などを)〈人〉‘から'巻き上げる《+『名』〈人〉+『of』+『名』》 / 〈傷口などが〉皮で覆われる《+『over』》 
rush	 トウシンソウ(灯心草);灯心草の茎(マット・かごなどを作る) 
meat	 (食用の)『動物の肉』 / 《英古》《米文》(一般的に)『食物』(food) / (課実などの)食用部分,果肉 / (議論・書物などの)最も重要な部分,主眼点,骨子《+『of』+『名』》
gift	 〈C〉(…への)『贈り物』,寄贈品,寄付金《+『to』(『for』)+『名』》 / 〈C〉(…に対する)『生まれつきの才能』,天賦の才《+『for』(『of』)+『名』(do『ing』)》 / 〈U〉《古》与えること,贈与;(権力者などが持つ地位などを)与える権限 
host	 (…の)大群,大勢《+『of』+『名』》(multitude) 
path	 (自然にできた)『小道』,細道;庭内の道 / (人・物の)『通り道』,通路・進路,軌道《+『of』+『名』》 / (行動の方針としての)(の)道《+『of』+『名』》)への)道程《+『to』+『名』》 
sink	 (水平面下に)〈船・太陽などが〉『沈む』・(…に)『下降する』,落ちる《+『into』(『to』)+『名』》・『量』(『勢い』,『程度など』)『が減る』,弱まる,下がる・〈健康・士気・名声・地位などが〉悪化する,衰える,下がる・(…の状態に)次第に落ち込む,陥る《+『in』(『into』)+『名』(do『ing』)》・(…に)深く入る,しみ込む《+『in』(『into』)+『名』》・〈船など〉‘を'『沈める』・…‘の'水平面の高さを下げる,‘を'低くする・(…まで)…‘の'『量(勢い,程度)を減らす』,‘を'弱める《+『名』+『to』+『名』》・〈井戸・穴など〉‘を'掘る・(…に)…‘を'沈み込ませる《+『名』+『in』(『into』)+『名』》・(…に)〈資本・労力など〉‘を'投ずる《+『名』+『in』(『into』)+『名』》 / …‘を'隠す;…‘を'無視する・《話》《しばしば受動態で》…‘を'だめにする,滅ぼす;失う・(バスケットボールで)〈球〉‘を'バスケットに入れる・(ゴルフで)〈球〉‘を'ホールに入れる・(台所・洗濯場・洗面所などの)『流し』・《米》洗面器(washbasin, washbowl) ・下水溝,下水だめ
iron	 〈U〉『鉄』 / 〈U〉鉄のように堅い(強い,冷たい)こと / 〈C〉鉄製の器具 / 〈C〉[電気]『アイロン』 / 〈C〉アイアン(球を打つ部分が金属のゴルフクラブ) / 〈C〉《複数形で》手かせ,足かせ / 《名詞の前にのみ用いて》『鉄の』,鉄製の / 鉄のように堅い(強い,冷たい) / …‘に'アイロンをかける / 〈人が〉アイロンをかける
meal	 (一定の時刻に定められた)『食事』;食事の時間 / (1回分の)食事,(食事1回分の)食べ物
wise	 (人・行為などが)『賢い』,賢明な,思慮分別のある / 『博識な』,学識豊かな;事情に詳しい,物事が分かっている / 《俗》生意気な / …‘を'気づかせる,…‘に'教える《+up+『名』,+『名』+up》 / (…に)気づく,(…を)知る《+up to+『名』》 
tube	 (金属・ガラス・ゴムなどの)管,筒 / (絵の具・歯みがきなどの)チューブ / 《米》(列車・地下鉄の)トンネル / 《英》地下鉄(《米》subway) / (ラジオ・テレビなどの)真空管(vacuum tube) / (動植物の)管状器官
rent	 (…の)ほころび;裂け目;嶺れ目,割れ目《+『in』+『名』》 / (…の)分裂,不和《+『in』+『名』》
milk	 (雌の哺乳(ほにゅう)動物が分泌する)乳,(特に食料としての)『牛乳』,『ミルク』 / (植物の)乳汁,乳剤,乳液 / 〈牛など〉‘の'乳をしぼる / 〈情報など〉‘を'引き出す;(…を)〈人〉‘から'しぼり取る《+『名』+『of』+『名』》 / (毒を)〈蛇〉‘から'抜き取る《+『名』+『of』+『名』》 / 〈牛などが〉乳を出す
rank	 〈C〉〈U〉『階級』,等級;(相対的な)『順位』,地位: / 〈U〉高い地位(身分) / 〈C〉〈U〉(人・物の)『列』,並び;(兵隊)の横列 / 《the ranks》(また『rank and file』)(将校たちに対して)兵卒,下士官 / …‘を'『並べる』 / …‘を'『位置づける』,評価する / 《米》…‘より'上位にある / 『位置する』・「pull one's rank on 誰々」で「(誰々に)地位を悪用する; (意見が衝突したような場合に)階級をかさに着て(誰々に)命令を押しつける」
loud	 (音・声が)『大きい』,大きな音を出す / 『騒々しい』;はでな,人目を引く / 『大声で』,声高に 
gold	 『金』,黄金(おうごん) / 《集合的に》『金貨』(gold coins) / 金銭,富,財宝 / 黄金色,金色 / 《しばしば…of goldの形で》(金のように)価値のあるもの;純真,親切 / 『金の』,金製の / 金色の 
dare	 『あえて…る』 / 《『dare to』 do》『思いきって…する』,…する勇がある / 〈危険など〉‘に'『立ち向かう』 / 〈人〉‘に'『挑む』,挑戦する(challenge) / 挑戦[すること](challenge) 
pink	 〈U〉『桃色,ピング』 / 〈C〉ナデシコ属の植物(ナデシコ・セキチク・カーネーションなど) / 《the pink》《話》最上のもの,極致,粋 / 〈C〉《しばしばPink》《話》左翼的な人,赤がかった人 / 桃色の,ピンクの / 《しばしばPink》左翼的な,赤がかった
gate	 (…への)『門』,通用門《+『to』(『of』)+『名』》;(門の)とびら / (ダム・運河などの)水門 / (競技場・劇場などの)[有料]入場者数 / (またgate money)総入場料
shut	 (…に対して)〈ドア・窓など〉‘を'『閉める』,閉じる(close)《+『名』+『on』(『to』)+『名』》 / 〈本・ナイフなど〉‘を'『閉じる』,たたむ / (…の中に)…‘を'閉じ込める《+『名』+『in』(『into』)+『名』》;(…から)…‘を'締め出す《+『名』+『from』(『out of』)+『名』》・〈店・事業など〉‘を'閉じる,閉鎖する・(ドアなどに)〈指・服など〉‘を'はさむ《+『名』+『in』+『名』》・閉じる,閉まる 
holy	 『神聖な』,神にささげられた / 信仰のある,神に身をささげた / 《俗》ひどい,はなはだしい / 至高の聖所
pile	 〈C〉(…の)『積み重ね』《+『of』+『名』》 / 《話》『多数』(…の),たくさん(の…),大量(の…)《+『of』+『名』》 / 《a~》《話》大金 / 〈C〉大建築物[群] / 〈C〉=nuclear reactor / 《副詞[句]を伴って》…‘を'『積み重ねる』,積み上げる / (…を)〈容器〉‘に'積み上げる,盛る《+『名』+『with』+『名』》 / …‘を'畜積する,ためる《+『輝箇』+『名,』+『名』+『up』》 / 『積み重なる』,積もる《+『up』》 / 《話》《方向・状態を表す副詞[句]を伴って》どやどやと動く
wing	 (鳥の)『翼』,(昆虫の)羽 / (飛行機・風車などの)『翼』,羽 / (建物の)翼(よく),そで / (政党などの)『分派』,…翼 / 《複数形で》(舞台の)そで,たもと(観客から見えない部分) / (サッカーなどの)ウィング,ウィングの選手 / (部隊・艦隊の左右の)翼,側面部隊;(空軍の)飛行大隊 / 《複数形で》パイロット記章 / 《英》=fender 1 / 《wing one's way の形で》飛んで行く / …‘を'飛ばす;…‘に'スピードをつける / (…で)…‘に'翼をつける《+名+with+名》 / 〈鳥〉‘の'翼を傷つける,〈人〉の腕を傷つける / 〈芝居の役など〉‘を'せりふを暗記しないで演じる / 《方向を表す副詞[句]を伴って》飛ぶ 
pour	 《副詞[句]を伴って》〈液体〉‘を'『注ぐ』,『つぐ』,流す / (…に)…‘を'『注ぎかける』,溶びせる,〈努力など〉‘を'注ぐ《+『out』(forth』)+『名,』+『名』+out』(『forth』)》 / 《副詞[句]を伴って》〈水・煙などが〉『流れる』;《比喩(ひゆ)的に》〈人・物が〉『流れ出る』 / 〈雨が〉『激しく降る』《+『down』》 / 《話》(レセプションなどで)〈婦人が〉お茶(コーヒーなど)をつぐ,接待役をする / どしゃ降り
hire	 〈人〉‘を'『雇う』 / (金を払って)〈物〉‘を'『借りる』,賃借する / 〈物〉‘を'賃貸しする;〈自分〉‘が'金で雇われる《+『out』+『名』,+『名』+『out』》 / 借り賃,使用料;雇い賃,給料 / (物の)『賃貸し』,賃借り;(人の)雇用 / (人が)雇われて
verb	 『動詞』 
drag	 〈重い物〉‘を'『引きずる』(haul) / 《副詞[句]を判って》…‘を'引っ張ってゆく / (網などで)(…を捜して)〈川・湖など〉‘の'底をさらう《+『名』+『for』+『名』》 / …‘を'だらだらと引き延ばす《+『out』+『名,』+『out』》 / (地面に)『引きずる』《+『along』》 / 〈物が〉重そうに動く;のろのろ進む / だらだらと長引く《+『on』(『out』)》 / 〈C〉〈U〉引っ張ること,引きずること / 〈C〉物事を遅らせる原因になる人(物);(…の)足手まとい,じゃま物《+『on』(『upon』)+『名』》 / 〈C〉水の底を探る物(探り錨,引き網など) / 〈C〉引きずられる物(重いまぐわ,犬ぞりなど) / 〈U〉《a~》(航空機の)抗力 / 《a~》《俗》退屈な人(物,事) 
sand	 〈U〉『砂』 / 《複数形で》砂地,砂浜,砂漠 / 《複数形で》時刻,時間 / …‘を'砂(紙やすり)で磨く《+『down』+『名,』+『名』+『down』》 / 〈道路など〉‘に'砂をまく 
fold	 《副語[句]を伴って》〈紙など〉‘を'『折る』,折り重ねる / 〈両手など〉‘を'『組む』;〈鳥が〉〈翼〉‘を'畳む / (…に)…‘を'巻き付ける《+『around(about)』+『名』》 / …‘を'抱き締める(embrace) / 《副語[句]を伴って》〈扇などが〉折リ畳める / 《話》〈事業などが〉つぶれる,閉じる《+『up』》 / ひだ / 折り目,畳み目 / (土地の)くぼみ / 起伏
hurt	 〈身体・身体の一部〉‘に'『苦痛を与える』;〈人〉‘に'『けがをさせる』 / 〈物〉‘に'『損害を与える』,〈評判など〉‘を'損なう / 〈人〉‘の'感情を害する,〈人の感情〉‘を'害する / 〈身体の一部が〉『痛む』 / (肉体的・精神的な)痛み(苦痛)を与える / 《話》《否定文で》支障がある,問題となる(matter) / 〈C〉(…による)(身体の)『けが』《+『from』+『名』(do『ing』)》 / 〈U〉(精神の)苦痛 / 〈C〉(物などの)損害;(誇り・感情などを)傷つけるもの《+『to』+『名』》 
crop	 〈C〉《しばしば服数形で》『作物』,『収穫物』 / 〈C〉(一地域で一期にとれる農作物の)『収穫』[『高』],生産[高],作柄 / 〈U〉作付け,植う付け,耕作 / 〈C〉《通例単数形で》(同時に,または続々と出てくる人・物の)群れ《+『of』+『名』》 / 〈C〉《通例単数形で》(髪の)刈込み,いがぐり頭 / 〈C〉(鳥の)え袋,そのう / 〈C〉(動物の耳を切って目じるしにする)耳じるし / 〈C〉乗馬むち;むちの柄 / 〈草・毛などの先〉'を'刈り込む,かみ切る / (…を)…‘に'植え付ける《+『名』+『with』+『名』》 / 作物ができる;作物を植える 
sail	 〈C〉〈U〉『帆』;《集合的に》一隻の帆全部 / 〈C〉帆のような物;風車の羽根,カエデの種子の羽根など / 〈C〉《単複同形で》帆船;船 / 〈C〉《単数形で》(短い)船旅,船遊び;〈U〉《時にa sail》航程 / 《副詞[句]を伴って》〈船が〉『航海する』 / (…から…へ)『出航する』《+『from』+『名』+『for』(『to』)+『名』》 / 《副詞[句]を伴って》〈人が〉『船で旅をする』,航海する / ヨットを操る,帆走する / 《副詞[句]を伴って》すべるように進む(飛ぶ);〈人が〉さっそうと歩く / 〈人・船などが〉〈海・川など〉‘を'渡る / 〈船〉‘を'操る,走らせる 
cure	 〈病気・病人〉'を'『治療する』,なおす / 〈悪癖・弊害など〉'を'『なおす』,取り除く / (塩づけ・燻製(くんせい)などにして)〈魚・肉など〉'を'保存する / 〈病気が〉なおる / (塩づけ・燻製などにして)〈魚・肉などが〉保存させる / 〈U〉〈C〉(病気の)『回復;治療』 / 〈C〉(…の)『治療薬』;『治療法』《+『for』+『名』》 
trap	 (獲物をとる)『わな』 / (人を陥れる)わな,計略,策略 / 防臭弁(水をためて臭気を防ぐ排水管のUまたはS字刑の部分) / トラップ(クレイ射撃で標的の粘土のハトを飛ばす装置) / (犬の競走で)犬の飛び出し口 / 《おもに英》軽二輪馬車 / 《俗》口 / 《複数形で》打楽器[類] / 〈動物〉‘を'わなに掛ける / 〈人〉‘を'計略に掛ける,‘に'いっぱい食わせる / 〈ガス・液体など〉‘を'防臭弁で防ぐ;…‘を'ふさぐ,さえぎる / わなを仕掛ける
glad	 《補語にのみ用いて》『うれしい』,楽しい,喜んで / 《『be glad to』 do》《未来形で》『喜んで』(『進んで』)…『する』(willing) / 《名詞の前にのみ用いて》(物事・表情・声などが)『喜ばしい』,うれしそうな 
neat	 (見た目に)『きちんと整った』,小ぎれいな / (人などが)きれい好きな;(服装などが)さっぱりした / (やり方・話し方などが)手ぎわのよい / 《米話;現在はまれ》すばらしい,すてきな / 《話》(酒などが)水で割らない,ストレートの 
sake	 『ため』;利益;理由,目的 
self	 (他人と区別して)『自己』,自分,自身 / 〈C〉(人・物の)本質,個性;性格の一面 / 〈U〉私利,私欲,私心 / 同じ材料でできた,共ぎれの
whip	 『むち』;《比喩的に》訓練のむち / (キツネ狩りの)猟犬係 / (政党所属議員の出席を督励する)院内幹事 / ホイップ(泡立てた卵の白身かクリームで作るデザート) / 〈人・動物〉‘を'『むちで打つ』,‘に'むちを当てる / (人・動物に)…‘を'むち打って教え込む《+名+into+名》;(…から)〈悪癖など〉‘を'むちでやめさせる《+名+out of+名》 / 《方向・状態を表す副詞[句]を伴って》〈物〉‘を'『ぱっと動かす』 / 〈布の縁〉‘を'かがる;〈棒・ロープの端〉‘に'糸(ひも)を巻きつける,‘を'端止めする / (むちで打つように)…‘を'ピシッとたたく,たたきつける / 〈卵・クリームなど〉‘を'かき回して泡立てる / 《話》(競技などで)…‘を'打ち負かす / 〈川・湖など〉‘で'投げ釣りをする / 〈こま〉‘を'ひもを打ちつけて回す / 《方向・状態を表す副詞[句]を伴って》〈人が〉急に動く(行く,来る,通る) / 〈旗などが〉はためく / 《方向を表す副詞[句]を伴って》〈風・雨が〉激しく打つ,しの突くようにたたきつける
coal	 〈U〉(物質としての)『石炭』;〈C〉(1個の)『石炭』;《複数形で》(燃料用に砕いた)石炭の小塊 / 〈C〉燃えている燃料;燃えさし / 〈船・機関車など〉‘に'石炭を供給する(積み込む) / 〈船などが〉石炭を補給する
ruin	 〈U〉(…の)『破滅』,崩壊,没落;破産《+『of』+『名』》 / 〈C〉崩壊(荒廃)した物,残がい;《複数形で》『廃墟』(はいきょ) / 《単数形で》破滅(崩壊)させるもの(原因) / …‘を'『波滅させる』,崩壊させる,荒壊させる,〈人・会社など〉‘を'破産させる / …‘を'台なしにする,だめにする 
belt	 『ベルト』,バンド,帯 / (特徴のある)地帯,地方 / (機械の)ベルト / ベルト状のもの / 《話》ピシャリとたたくと / …'を'ベルトで締めてつける《+『名』+『on,』+『on』+『名』》 / …'を'ベルトで巻く;(ベルトで締めるように)…'を'取り巻く《+『名』+『up,』+『up』+『名』》 / (革帯などで)…'を'打つ,たたく / 《話》…'を'ぶんなぐる 
stir	 …‘を'『かき混ぜる』,かき回す;…‘を'(…に入れて)かき混ぜる《+『名』+『into』+『名』》 / 〈物事〉‘を'『かき立てる』;…‘を'扇動する《+『up』+『名,』+『名』+『up』》 / 〈人〉‘を'奮起させる,‘の'心をかき立てる《+『up』+『名,』+『名』+『up』》 / 《話》…‘の'目を覚まさせる《+『up』+『名』》 / …‘を'軽く動かす / (特に,かすかに)『動く』 / 《話》動き回る,起きて働く;目を覚ます / かき回せる,かき混ぜられる / 〈U〉《しばしばa ~》騒ぎ / 〈C〉《a ~》かすかな動き / 〈C〉(スプーンなどで)かき混ぜること 
fate	 〈U〉『運命』,宿命 / 〈U〉(運命として定められた)最期,破滅,(特に)死 / 《the Fates》(ギリシア・ローマ神話の)運命の三女神(Clotho,Lachesis,Atropes) / …‘を'運命づける
beam	 〈C〉(建設の)『はり』,『けた』,横材 / 〈C〉(船の甲板を支える)横はり / 〈C〉(はかりの)さお;(織機の)糸巻き / 〈C〉『光線』,光束 / 〈C〉(顔などの)『輝き』,晴れやかさ / 〈C〉(船舶・航空機用の)信号電波 / 〈U〉最大船幅 / 《副詞[句]を伴って》『輝く』,光を発する / (…に)顔を輝かせる《+『at』(『on, upon』)+『名』》 / 〈光・熱〉'を'出す,発散する / (…に向けて)〈放送・無線信号〉'を'送る《+『名』+『at』(『to』)+『名』》 / …'を'顔を輝かせて言う
joke	 『冗談』,『笑い話』 / からかい,いたずら / こっけいなもの,物笑いの種 / 冗談を言う;冗談で言う
corn	 〈U〉(米,カナダ,オーストラリアで)『とうもろこし』;〈C〉とうもろこしの実(おもに《英》maize, Indian corn) / 〈U〉《英》《集合的に》『穀草』(wheat, oatsなど);『穀物』,穀類;穀粒 / 〈C〉《話》古くさい(お涙ちょうだい的な)もの(こと) / 〈牛肉など〉'を'塩づけにする
dive	 (…から水中などに)『頭から飛び込む』《+『from』(『off』)+『名』+『into』(『in』)+『名』》 / (…を取ろうと)『潜る』,潜水する《+『down for』+『名』》 / (…へ向かって)急降下する,急潜航する《+『down toward』+『名』》 / (…に)駆け込む,逃げ込む《+『into』+『名』》 / (…に)手を突っ込む《+『in』(『into』)+『名』》 / (仕事・問題などに)飛び込む《+『in』(『into』)+『名』》 / …‘を'急降下させる,急潜航させる / 『飛び込み』 / (飛行機の)急降下;(潜水艦・潜水夫などの)急潜航 / 《話》怪しげなナイトクラブ,いんちき酒場
dish	 〈C〉(全員分の料理を盛る)『大皿』,盛り皿,深皿 / 《しばしばthe ~》《複数形で集合的に》(食事に用いる,おもに陶器製の)皿類,食器類(plates,bowls,saucers,cups,knives,forksなどの総称) / 〈C〉(皿に盛られた)『料理』,食品 / 〈C〉(…の)皿1杯の分量,一皿分《+『of』+『名』》 / 〈C〉《話》可愛い女の子 / 〈食物〉‘を'皿に盛る;〈人〉‘に'盛りつけて出す《+『名』+『up』,+『up』+『名』》
harm	 『害』,『損害』;危害 / (精神的な)害,災い;不幸;不都合 / …‘を'『害する』,‘に'損害を与える,危害を加える 
leaf	 〈C〉(木・草の)『葉』 / 〈C〉花びら / 〈C〉(本などのページの裏表)『1枚』 / 〈U〉(金属の)薄片,箔(はく) / 〈C〉(折りたたみ式テーブルの)補助板 / 《おもに米》〈木が〉葉を出す《+『out』》 / (本などの)ページをばらばらとめくる,内容にざっと目を通す》+『through』+『名』》 
bite	 …'を'『かむ』,かじる,くわえる / 〈虫が〉…'を'刺す,食う / 〈こしょうなどが〉…'を'刺激する;〈寒さが〉…‘に'しみる;〈霜が〉…'を'いためる;〈酸が〉…'を'腐食す / る / 〈歯車や機械などが〉…‘に'かみ合う;〈刃物などが〉…‘に'切り(食い)込む / かむ;かみつく;〈魚が〉えさに食いつく / 〈寒さが〉しみる;〈こしょうなどが〉刺激する;〈言葉などが〉(…に)食い込む《+『into』+『名』) / (歯車などが)かみ合う,空回りしない / 『かむこと』,食いつくこと;(釣りで,魚の)食い / 〈C〉(食べ物の)1口[分]《+『of』+『名』》;《話》軽い食事 / 〈C〉かみ傷,(虫などの)刺した跡 / 〈U〉ぴっとする刺激;辛み;(傷の)痛み;激痛 / 〈U〉(機械などの)かみ合い 
lung	 《しばしば複数形で》『肺』,肺臓 
drum	 『太鼓』,ドラム / 太鼓の音;太鼓のような音 / (形が)太鼓状のもの;(機械の)ドラム;ドラムかんなど / =tympanic membrane / 太鼓を打つ(鳴らす) / (…でテーブル・床などを)ドンドン打つ,トントンたたく,踏みならす《+『on』+『名』+『with』+『名』》 / …‘を'ドンドン(トントン)打つ(鳴らす) / 《話》(人の頭などに)〈考えなど〉‘を'たたき込む,教え込む《+『名』+『into』+『名』》 / (…から)〈人〉‘を'追放(除名)する《+『名』+『out of』+『名』》 
bold	 『大胆な,恐れを知らない』(fearless) / ずぶとい,ずうずうしい / 太くて目立つ;(文字が)肉太の / けわしい
melt	 (熱・水などによって)『溶ける』,溶解する / 〈人・心気持ちなどが〉『しだいに和らぐ』 / 〈色・音などが〉(…に)しだいに変わっていく《+『into』+『名』》 / 溶けてしだいに小さくなる(少なくなる,消えていく)《+『away』》 / (熱・水などによって)(…に)〈物〉‘を'『溶かす』,溶解する《+『名』+『in』+『名』》 / 〈心・気持ちなど〉‘を'しだいに和らげる / …‘を'しだいに無くする 
bury	 〈死体〉'を'『埋葬する』,土葬する,水葬する / (見えないように)…'を'『おおい隠す』 / …'を'深く突っ込む / (…に)〈人〉'を'没頭させる《+『名』〈人〉+『in』+『名』》
wipe	 〈物など〉‘を'『ふく』,ふぐう / 〈よごれなど〉‘を'『ふき取る』,ぬぐい去る《+『away』(『off』)+『名,』+『名』+『away』(『off』)》;(…から)…‘を'ふき取る《+『名』+『off』(『from, out of』)+『名』》 / (…に)〈布など〉‘を'こすりつけてふく(ぬぐう)《+名+over(across)+鳴》 / ふくこと,ぬぐうこと
tail	 〈C〉『尾』,しっぽ / 〈C〉『尾に似た物』;(飛行機・車の)尾部 / 〈C〉(…の)『後部』,末端,終り(底)の部分《+of+名》 / 〈C〉コインの裏側 / 《複数形で》燕尾(えんび)服(tail coat) / 〈C〉《俗》しり,けつ / 〈C〉《俗》尾行者 / …‘に'尾をつける / 《話》〈人〉‘を'尾行する / 〈物・音が〉しだいに減ってゆく,消えてゆく《+away(off, out)》
spin	 (羊毛などから)〈糸など〉‘を'『紡ぐ』《+『名』+『out of』+『名』〈羊毛〉》,(糸などに)〈羊毛など〉‘を'紡ぐ《+『名』〈羊毛〉+『into』+『名』》 / 〈クモ・カイコなどが〉〈糸〉‘を'『吐く』;〈巣・繭〉‘を'かける / …‘を'くるくる回す / 〈物語など〉‘を'作る,話す / 『糸を紡ぐ』;〈クモ・カイコなどが〉糸を吐く / 〈こまなどが〉くるくる回る / 〈車などが〉疾走する / 〈頭などが〉くらくらする / 〈C〉〈U〉くるくる回すこと;回転 / 〈C〉《単数形で》(車などの)一走り / 〈C〉(飛行機の)きりもみ降下 / 〈C〉《単数形で》(価値などの)急落
dine	 (一日のおもな食事として)正餐(晩餐)をとる 
nail	 (手の)『つめ』(fingernail);《まれ》(足の)つめ(toe-nail);(鳥獣の)つめ(claw, talon) / 『くぎ』,びょう / (…に)…‘を'くぎ(びょう)で止める《+『名』+『on』(『to』)+『名』》 / (…に)〈人,人の注意・目など〉‘を'くぎ付けにする《+『名』+『on』(『to』)+名》 / 《話》…‘を'つかまえる,しとめる;〈うそなど〉‘を'見破る 
wrap	 (人・物に)…‘を'『巻きつける』,掛ける《+『名』+around(about)+『名』〈人・物〉》 / (…で)〈人・物〉‘を'『くるむ』,包む〈+『名』〈人・物〉+『up』(+『up』+『名』+『in』+『名』》 / 《話》…‘を'終了する《+up+『名』,+『名』+up》 / 衣服の上に着る外衣(スカーフ,ショール,コートなど)
nest	 (鳥・昆虫・魚類・小動物などの)『巣』,巣穴 / 《集合的に》巣の中の鳥(動物など),(昆虫などの)群れ / 居ごこちよい場所,落ちつける場所 / (犯罪などの)温床;(悪党などの)巣窟(そうくつ) / (入れ子式・重箱式などになった物の)一組,一そろい《+『of』+『名』》 / 巣を作る,巣ごもる / …‘を'巣に入れる / (巣に入れるように)…‘を'すっぽり収める / …‘を'入れ子式にする,重ね合わせる 
arch	 (建物の)『アーチ』,迫持(せりもち) / アーチ型の記念碑,弓形門 / 『弓形のもの』 / (足の)土踏まず / …'を'弓形にする / …‘に'アーチをかける / 弓形になる,弓状に伸びる 
bath	 『入浴』;水浴び / (また《おもに米》『bathtub』,《話》『tub』)浴槽(よくそう),ふろ[がま] / 『浴室』(bathroom); / 《複数形で》(古代の)大浴場 / (化学作用を与えるための)浴液;電解そう / …'を'入浴させる / 入浴する 
boil	 沸く / 煮える / 〈人,人の気持が〉(怒り・興奮で)煮えくりかえる,激する《+『with』+『名』》 / (沸騰する湯のように)わき立つ / …'を'『沸かす』 / …'を'『煮る』,ゆでる / 煮沸,沸騰;《the ~》沸騰点 
lend	 〈金・金〉‘を'『貸す』 / (…に)〈援助〉‘を'与える,〈魅力など〉‘を'添える《+『名』+『to』+『名』》 / 金を貸す,融資する 
ugly	 (外見・容ぼうが)『醜い』,ぶかっこうな / 『不快な』,いやな(disagreeable) / (道徳的に)悪い,ひんしゅくを買う / (天侯・事態などが)『険悪な』,荒れ模様の / 《話》不きげんな;気むずかしい;けんか好きな: 
bare	 『裸の』,『おおいのない』;露出した,むき出した / 『からの』,なにもない(empty) / 『ありのままの』,赤裸々な / 《名詞の前にのみ用いて》『かろうじての』,やっとの;ただ…だけの(mere) / …'を'裸にする,あらわにする;〈刀〉'を'燃く 
