abed	 寝床に(in bed) 
star	 『星』;恒(fixed star) / 『星形のもの』;星章,星標(*)(asterisk) / 『スター』,花形 / (人の運勢を左右するといわれる)運星;《しばしば複数形で》運勢,運,星回り / (星印で示した)等級 / 《文》実現不可能な逆標(願望) / 星の / 花形の,主役の;卓越した,すぐれた / …を星(星形の物)で飾る;…‘に'星印をつける;(…を)…‘に'のようにちりばめる《+『名』+『with』+『名』》 / …‘を'主役にする / 主役を務める,主演する 
stay	 《副詞[句]を伴って》『とどまる』,いる / (訪問者・客として)(…に)『滞在する』,泊まる《+『at』(『in』)+『名』〈場所〉,+『with』+『名』〈人〉》 / 『じっとしている』《stay+名(形,過分)〈補〉…のままでいる》 / …‘を'押しとどめる,引き止める / …‘の'間滞在する / 《おもに文》〈食欲など〉‘を'一時的にいやす(満たす) / 〈判決など〉‘を'延期する,猶予する / …‘を'最後までもちこたえる,がんばり通す《+『名』+『out』》 / 〈C〉《単数形で》『滞在』,とう留 / 〈C〉〈U〉停止,休止 / 〈C〉〈U〉(執行などの)猶予,停止 
stem	 (草の)『茎』,(木の)『幹』 / 葉柄,花梗(かこう) / 『茎状のもの』;(杯・グラスの)『脚』,(パイプ・さじの)柄,(時計の)りゅうず / (単語の)語幹,語根 / 船首;船首材 / …‘の'茎(軸)を取り去る,へたをとる / (…から)生じる,(…に)由来する《+『from』+『名』(do『ing』)》 
step	 『一歩』,歩み;一歩の距離,歩幅;短い距離 / (階段・はしごの)『段』,踏み段;《複数形で》『階段』 / (目的・目標への)『一歩』,一段階《+『to』(『toward』)+『名』》 / 足音 / 足跡 / 『歩調』,足取り;(ダンスの)ステップ / (目標に近づく)『手段』,方法,処置 / 階級,昇級 / (音楽で)音程 / (温度計などの)目盛り / 《方向を表す副詞[句]を伴って》(…の方へ)『歩む』,一歩踏み出す,行く / (…を)踏みつける《+『on』+『名』》 / 〈足〉‘を'踏み出す;〈ダンス〉‘の'ステップを踏む / …‘を'歩測する《+『off』(『out』)+『名』,+『名』+『off』(『out』)》 / 〈段〉‘を'切り込む 
stew	 〈食物〉‘を'『とろ火で煮る』,シチューにする / 《話》…‘の'気をもませる,‘を'いらいらさせる / とろとろに煮える,シチューになる / 《話》やきもきする,気をもむ / 〈C〉〈U〉『シチュー』(肉・野菜などをとろ火で煮込んだ料理) / 〈C〉《話》気をもむこと
stir	 …‘を'『かき混ぜる』,かき回す;…‘を'(…に入れて)かき混ぜる《+『名』+『into』+『名』》 / 〈物事〉‘を'『かき立てる』;…‘を'扇動する《+『up』+『名,』+『名』+『up』》 / 〈人〉‘を'奮起させる,‘の'心をかき立てる《+『up』+『名,』+『名』+『up』》 / 《話》…‘の'目を覚まさせる《+『up』+『名』》 / …‘を'軽く動かす / (特に,かすかに)『動く』 / 《話》動き回る,起きて働く;目を覚ます / かき回せる,かき混ぜられる / 〈U〉《しばしばa ~》騒ぎ / 〈C〉《a ~》かすかな動き / 〈C〉(スプーンなどで)かき混ぜること 
stop	 〈動いているもの〉‘を'『止める』 / 〈供給など〉‘を'停止する / …‘を'阻止する,やめさせる / 〈自分がしていること〉‘を'『やめる』,中断する / 〈穴・口など〉‘を'ふさぐ,〈びんなど〉‘に'せんをする / 〈相手の一撃など〉‘を'かわす;〈相手〉‘を'打ち負かす,ノックアウトする / 〈楽器の弦・穴〉‘を'指で押さえる,〈音〉‘を'指で押さえて出す / 〈動いているものが〉『止まる』,停止する,立ち止まる / 〈仕事・話などが〉『中断する』;〈雨などが〉やむ / 〈人が〉仕事(話など)をやめる,手を休める,一息つく / 《話》(…に)滞在する,とどまる《+『at』+『名』〈場所〉『,』+『with』+『名』〈人〉》 / 『止まること』,停止,中止,中断 / (旅先での)短期間の滞在,立ち寄り / (道路の)停留所 / (穴などを)ふさぐこと…(びんなどの)せん / (パイプオルガンなどの)ストップ,音栓(肝先) / 句読点,(特に)終止符 / (レンズの)絞り / 閉鎖音([p][b][k]など) 
stow	 (場所・入れ物に)…‘を'しまい込む,詰め込む《+『away』+『名』+『in』(『into』)+『名』》 / (…を)〈場所・入れ物〉‘に'しまう,詰め込む《+『名』+『with』+『名』》
stub	 (鉛筆・たばこなどの)使い残り;短い切れ端,(木の)切り株 / (小切手帳などの)控え;《米》(入場券などの)半券 / (…に)〈つま先〉‘を'ぶつける《+名+against+名》 
stud	 《おもに米》種馬 / 《集合的に》(一群の)繁殖用動物(種馬,種牛など)
stun	 (殴打などで)…‘を'気絶させる / (驚き・時に喜びなどで)〈人〉‘の'肝をつぶさせる,‘を'ぼう然とさせる(amaze)
such	 《特定の種類・程度を示して》『こんな』,あんな / 《類似の種類・程度を示して》『そんな』,そのような / 《名詞の前にのみ用いて,強意的に》『とても』(良い,悪い,ひどい) / 《補語にのみ用いて》『そのような』 / そのような人(物,事) 
suck	 (…から)〈ミルクなど〉‘を'『吸う』,すする《+名+from(out of)+名》 / …‘の'汁を吸う(すする) / (口の中で)…‘を'『しゃぶる』,なめる / (一般に)…‘を'吸い込む,吸い取る《+in(up)+名》 / (…を)吸う《+at+名》 / 乳を吸う / 吸うこと,吸収 ・フェラチオをする・価値がない、最低だ、最悪だ、ひどくいやったらしい、むかつくほどだ、不快だ、不十分だ、低品質｛てい ひんしつ｝だ 　 ・ That company sucks. : あの会社は最低だ。 ・ You suck. : あんた最低ね。
suet	 スエット(牛や羊の腎臓のあたりの脂肪;料理や獣脂製造に用いる) 
suit	 〈C〉『スーツ』 / 〈C〉《複合語を作って》(…用の)服 / 〈C〉『訴訟,』告訴(lawsuit) / 〈C〉(カードゲームで)同種のカードの一組;同種のカードの持ち札 / 〈U〉〈C〉嘆願,懇願 / 〈U〉《古》求愛,求婚;嘆願 / 〈C〉(…の)一組,一そろい《+of+名》 / …‘に'『適する,』合う / 《しばしば受動遠で》(…に)…‘を'合わせる,適応させる / 〈人〉‘に'『似合う』 / 〈人〉‘に'都合がよい,‘を'満足させる / 適する,合う / 似合う / 都合がよい
sulk	 すねる,ふくれる / すねること,不きげん,ふくれっつら
sump	 水などを集める穴;汚水だめ / (坑底の)水だめ,集水坑 / (エンジンなどを)油だめ,油つぼ / 《英》=crankcase
sung	 sing の過去分詞 
sunk	 sink の過去分詞 
surd	 無理数(ルート3など) 
sure	 《補語にのみ用いて》(人が)『確信して』,自信をもって / 《補語にのみ用いて》(物事が)『確実な』 / (修事が)『確固とした』,確実な / (人が)『信頼のおける』,安心のできる / 確かに,全く / (返答で)いいとも,もちろん(certainly)
surf	 (海岸・岩に砕ける)寄せ波,岸打つ波 / (砕ける波の)白いあわ / 波乗りをする,サーフィンする / 投げ釣りの
surg	 surgeon / surgery / surgical 
swab	 棒ぞうきん,モップ / (治療用・塗布用の)消毒綿;綿棒(耳かきなど) / …‘を'モップで掃除する / (薬などを)…‘に'綿棒で塗る
swag	 《俗》略奮品,盗品 / 《オーストラリア》(放浪者の持ち歩く)身の回り品一式の入った壁み
swam	 swimの過去 
swan	 『ハクチョウ』(白鳥),スワン / 《the S-》白鳥座
swap	 《単数形で》(物と物の)交換,取り換え;交換物 / (と)…‘を'交換する《+名+for+名》 / 交換する 
swat	 …をぴしゃりと打つ / (…を)ぴしゃりと打つ《+at+名》 / (…を)ぴしゃりと打つこと《+at+名》 
sway	 『前後(左右)に動く,』揺れる / 《方向を表す副詞[句]を伴って》(一方に)『傾く,』かしぐ / …‘を'『揺する,』揺り動かす / (方向を表す副詞[句]を伴って)…‘を'傾ける / …‘に'『影響を与える,』‘を'左右する;《古》…‘を'支配する / (…の)揺れ,動揺《+of+名》 / (…の)影響;支配,統治《+of+名》 
swig	 (…の)がぶ飲み,痛飲・〈ビールなど〉‘を'痛飲する,がぶがぶ飲む / 痛飲する,がぶがぶ飲む
swim	 『泳ぐ』,水泳をする / (水上・空中などに)浮かぶ / (水などの易体で)いっぱいになる,あふれる《+with+名》・(…に)浸る《+in+名》 / 〈物ず〉ぐるぐる回るように見える;〈頭などが〉くらくらする / 〈河など〉‘を'泳いで渡る,〈ある距離〉‘を'泳ぐ / 《副詞[句]を伴って》〈人など〉‘を'泳がせる;〈船〉‘を'浮かせる / 『泳ぐこと』, 
swiz	 失望;詐欺,ぺてん 
swob	 swab 
swop	 =swap 
swot	 〈C〉《英話》がり勉家,猛勉強家(《米》grind) / 〈U〉がり勉 / がり勉する / (試験前に)…‘を'詰め込みで勉強する《+up+名,+名+up》
swum	 swim の過去分詞 
tabu	 =taboo 
tach	 =tachometer 
tack	 〈C〉(頭部の平たい)びょう・〈C〉〈U〉(風の向きと帆の位置で決まる)船の針路 / 〈C〉(帆の位置を変えて行う)針路変更 / 〈C〉〈U〉方針,やり方 / 〈C〉(裁縫の)しつけ,仮縫い / …‘を'びょうで留める《+down+名,+名+down》 / (…に)…‘を'付け加える《+名+on(onto)+名》 / …‘を'仮縫いする / (風上に向けて)〈船〉‘の'針路を変える;〈船〉‘を'ジグザグに進ませる / (船の)針路を変える;ジグザグに進む 
taco	 タコス(メキシコ料理の一種で,肉・チーズなどを包んで油で揚げたパンケーキ) 
tail	 〈C〉『尾』,しっぽ / 〈C〉『尾に似た物』;(飛行機・車の)尾部 / 〈C〉(…の)『後部』,末端,終り(底)の部分《+of+名》 / 〈C〉コインの裏側 / 《複数形で》燕尾(えんび)服(tail coat) / 〈C〉《俗》しり,けつ / 〈C〉《俗》尾行者 / …‘に'尾をつける / 《話》〈人〉‘を'尾行する / 〈物・音が〉しだいに減ってゆく,消えてゆく《+away(off, out)》
take	 …‘を'『手に取る』,つかむ,握る / (…から)…‘を'(力づくで)『取り上げる』,奪い取る,占領する《+名+from+名》・〈人〉‘を'『捕らえる』,〈魚・獲物〉‘を'捕獲する・(いくつかある物の中から)…‘を'『選んで取る』,選ぶ・〈賞など〉‘を'『勝ち取る』;〈試合〉‘に'勝つ・〈贈り物・金など〉‘を'『受け取る』,もらう・〈忠告など〉‘を'受け入れる,に従う;〈非難など〉‘を'甘受する・《副詞[句]を伴って》(…な気持ちで)…‘を'受け取る,‘に'反応する・〈人〉‘を'迎える,預かる,引き受ける;〈婿など〉‘を'とる・…‘を'予約する,借り入れる:(定期的に)…‘を'購読する,購入する・(元となるものから)…‘を'取ってくる,(本などから)…‘を'引用する《+名+from+名》・(体内に)…‘を'『取り入れる』,食べる飲む;〈休日など〉‘を'取る・〈外力・影響〉‘を'受ける;〈病気〉‘に'かかる:〈色〉‘に'染まる;〈におい〉‘が'移る;〈火〉‘が'付く・〈物〉‘を'『持って行く』,〈人〉‘を'『連れて行く』・…‘を'連れ去る;〈人の命〉‘を'奪う・(…から)…‘を'減じる,引く《+名+from(off)+名》・(…で)〈人〉‘の'心を奪う,〈注意など〉‘を'引く《+名+with+名》・(…へ)〈乗り物が〉…‘を'『運ぶ』,〈道などが〉…‘を'導く,〈仕事などが〉…‘を'行かせる《+名+to(into)+名》・〈乗り物〉‘に'『乗る』・〈物事が〉・〈時間・空間・労力など〉‘を'『必要とする』,要する・〈人が〉〈場所・位置〉‘を'『占める』・《動作を表す名詞を目的語にして》〈その名詞が表す行動・動作など〉‘を'『する』,とる,実行する・〈手段〉‘を'とる;〈道具など〉‘を'用いる・〈時間・機会など〉‘を'利用する・〈授業〉‘を'受ける・〈道〉‘を'行く,とる・…‘を'書き取る;〈絵画〉‘を'描く;〈写真〉‘を'撮る・…‘を'取り扱う,考慮する・責任・義務〉‘を'負う;〈役目・職務など〉‘に'就く・…‘を'計る,測定する;…‘を'調査する・〈ある感情・決意・見解など〉・‘を'持つ,抱く・…‘を'『理解する』,分かる・…‘に'当たる(hit) ・〈男が〉〈女〉‘と'性交する・〈機械装置などが〉かかる;〈歯車などが〉かみ合う・〈根が〉つく;〈種が〉芽を出す・〈薬が〉効く;〈接種が〉つく / 〈インキ・染料・絵の具などが〉付く,乗る / 人気を博す,受ける・《副詞[句]を伴って》写真に写る・(1回の)捕獲高,漁獲高 / (映画で,連続して撮った)1シーン;(連続撮影の)1ショット・反応・見解：「What is your take on何々?」で「何々をどう思いますか」 
talc	 滑石,タルク(柔らかですべすべした鉱物) 
tale	 (事実・伝説・架空の)『話』,物語 / 作り話,うそ / 《複数形で》告げ口,中傷 
tali	 talus の複数形 
talk	 『話す』,しゃべる,物を言う,口を利く / (考えなどを伝えるために)(…と…について)『語る』,話す,話し合う,論ずる《+to(with)+名+about(of, on)+名(doing, wh-節・句)》 / うわさ話をする;秘密をもらす / (言語以外の方法で)話す,合図する / …‘を'ことを話す,‘を'論ずる / 〈言語・方言〉‘を'話す,使う / 〈人〉‘に'話す / 〈C〉『話』,談話,おしゃべり;《複数形で》(正式な)『話し合い』,協議 / 〈C〉(…についての)(形式ばらない)『演説』,講演《+on(about)+名》 / 〈U〉うわさ,風説;《the~》うわさの種 / 〈U〉空論,むだ話 / 〈U〉話しぶり,口調
tame	 (動物が)『飼いならされた』,人になれた / (人・動物が)『おとなしい』, / 《話》おもしろくない,退屈な,つまらない / 〈野獣など〉‘を'『飼いならす,』(飼いならして)おとなしくさせる / …‘を'制御する,制御して利用する 
tamp	 (軽くたたいて)…‘を'詰める《+down+名,+名+down》 / (発破て)〈爆薬を詰めた口〉‘を'泥でふさぐ
tang	 (…の)ぴりっとした味,ぶんとくるにおい《+of+名》 
tank	 (液体・ガスなどを入れる)タンク / 『戦車』,タンク / …‘を'タンクに蓄える 
tape	 〈U〉(細長い紙・布などの荷造り用)『テープ』,ひも / 〈C〉(決勝線用の)テープ / =tape measure / 〈C〉〈U〉録音用テープ / =tape recording / =tape measure / …‘を'テープをくくる,テープをくっつける / =tape-record / …‘を'巻き尺で測る / 《しばしば受動態で》《米》…‘に'包帯をする(《英》strap) / =tape-record 
tare	 カラスノエンドウ(牧草) / 《通例複数形で》有毒な雑草(新約聖書「マタイによる福音書」から)
tarn	 山中の小さな湖(池) 
taro	 タロイモ(南洋諸島のサトイモの一種) 
task	 (つらく骨の折れる)『仕事』,(課せられた)務め / 〈仕事などが〉…‘を'苦しめる,酷使する
taxi	 『タクシー』(taxicabの略) / タクシーで行く / 〈飛行機が〉(ゆっくりと地上・水上を)滑走する / 〈飛行機〉‘に'誘導滑走させる
teak	 チークの木(東インド産で材質を堅いので造船・家具に用いる);〈U〉チーク材 
teal	 マガモ・カルガモの類(飛ぶのが速い) 
team	 (スポーツの)『チーム』 / (共に仕事などをする)『一団』,一組 / (荷車を引く2頭以上の牛馬などの)一組 / 〈動物〉‘を'一組にする / …‘を'一組の動物で運ぶ / (…と)『チームを作る』,チームを組む,協力する《+up with+名》
tear	 …‘を'『裂く』,破る,引き裂く / 〈穴など〉‘を'『破って作る』 / (…から)…‘を'『引きはがす』,もぎ取る,引き離す《+away(down, off, out, up)+名+from(out of, off)+名》 / 《受動態》で…‘を'裂いて(破って)分ける《+名+apart》 / 裂ける,破れる / 《副詞[句]を伴って》激しく(大急ぎで)動く,突進する
tend	 〈人が〉(…の)『傾向がある』,(…)しがちである / 〈物事が〉(ある方向に)向かう,(ある状態に)向かう
term	 〈C〉『専門用語』,術語 / 〈C〉(一般に)語[句],言葉 / 《複数形で》言い方,言葉遣い / 〈C〉『期間』 / 〈C〉〈U〉『学期』 / 《複数形で》(人との)間柄,仲《+with+名》 / 《複数形で》(協定などの)『条件』;要求額,値段 / 〈C〉(数式で)項 / 《term+名〈目〉+名(形)〈補〉》(…と)…‘を'名づける,呼ぶ 
tern	 フジサシ(カモメに似た海鳥) 
than	 《比較級の後に用いて》…『より[も]』,に比べて / 《関係代名詞的に用いて》…『よりも』 / 《other,otherwise,else,different などの後に用いて》…より(ほかの,ほかに) / 《rather,sooner などの後に用いて》…『よりむしろ,』…するくらいなら / 《話》《hardly, scarcely の後に用いて》=when,before / 《文》《通例 than whom の形で》…より[も] / 《話》《比較級の後に用いて》…より,に比べて 
thaw	 〈氷・雪などが〉『解ける』《+『out』》 / 冷えた体が暖かくなる《+out》 / 《it を主語にして》暖かくなる,氷や雪が解ける気候になる / 〈人・態度などが〉打ち解ける,和らぐ / 〈氷・凍りついたものなど〉‘を'『解かす』 / (氷などが)解けること,雪解け / 雪葦けの季節,解氷期 / (心が)打ち解けること
them	 『彼らを(に)』,彼女らを(に),それらを(に) 
then	 『その時』,あの時,そのころ / (時間・場所・順番などが)『それから』,その次に,隣に,その[すぐ]後で / 『その上』,それに / 《通例文頭または文尾において》『それでは』,それなら,その結果 / 『その時の』,当時の / 『その時』
they	 『彼らが(は)』,彼女らが(は),それらが(は) / (一般に)『人々』,世間の人
thin	 『薄い』 / 細い / 『やせた』,やつれた / (液体・気体が)『薄い』,希薄な / まばらな,密集していない / 内容のない,見え透いた / (音・声が)『か細い』 / 薄く,細く,まばらに / …‘を'薄くする,細くする,まばらにする / 薄くなる,細くなる,まばらになる
this	 《近くの人・物・事を指して》『これ』,この人,こちら / 《時間・場所を指して》『今』,現在,今日;『ここ』 / 《次に述べること・今述べたことを指して》『このこと』,これ,こういうこと / 《that と対照的に》 / (that の前者に対して)『後者』 / 『この』 / 『今の』現在の;最近の / 《that と対照的に》『この』,こっちの / 《程度・量を示す形容詞・副詞とともに》これだけ,こんなに,この程度まで 
thou	 なんじ,そなた(you) 
thru	 =through 
thud	 ドザッ(ドシン)[という音] / ドザッ(ドシン)と響く
thug	 悪漢;人殺し 
thus	 『このように』,かくかくして / 『従って』,だから
tick	 (時計まどの)カチカチ[という音] / 《英語》瞬間 / 照合(点検)済みの印,チェック / <時計などが>カチカチ音がする《+away》 / <時が>過ぎる,経過する∥+by(away)》 / 《話》<人が>行動する,<機械などが>動く
tide	 〈U〉〈C〉『潮[の干満]』,(潮の干満によって起こる)潮流 / 〈C〉(世論などの)『風潮』,全体的傾向,形勢 / 〈C〉潮(のように押し寄せてくる…)《+of+名》 / 〈U〉《古》時,季節 / 《『tide over』+『名』》(困難・障害を)乗り切る / (難しい時期を)〈人〉を助けて乗り切らせる,‘に'なんとかやっていかせる《+名+over+名》
tidy	 『きちんとした』,整然とした;(人・動物などが)きれい好きな,自分をきれいにしている / 《話》かなりの / …‘を'きちんとする,整とんする《+名+up,+up+名》 / かたづける,整とんする《+up》
tier	 (ひな段式になった段々の)一段,一列 / …‘を'段段に積む,重ねる
tike	 tyke 
tile	 (床・壁用の)『タイル』;屋根がわら;《集合的に》タイル,かわら / (ドミノなどゲームの)こま,(マージャンの)牌 / (下水・煙突などの)土管,コンクリート管 / …‘に'タイルを張る;〈屋根〉‘を'かわらでふく
time	 〈U〉《冠詞をつけずに》(空間に対しての)『時間』,時 / 〈U〉(時計で示される)『時刻』 / 〈U〉(ある方式で決められる)『時間』,標準時 / 〈C〉〈U〉(特定の)『時』,おり,ころ / 〈U〉《しばしば A ~》(ある長さの)『時間』,期間 / 〈U〉(要する)『時間』;暇 / 《しばしば複数形で》(歴史上の)『時代』 / 《複数形で》時勢,景気 / 《one's ~》(個人の)一生;若いころ;生涯の特定の時期 / 〈U〉《しばしば A ~》(ある経験をした)『時間』 / 〈C〉『…回』,度 / 〈C〉『…倍』 / …の時間を定める / (…に)…の調子を合わせる《+名+to+名》 / …の時間を計る 
tine	 (くまで・フォーク・シカの角などの)鋭くとがった先 
ting	 …‘を'チリンチリナ(リンリン)と鳴らす / チリンチリン鳴る宴
tiny	 『とても小さい』,ちっぽけな 
tire	 〈人など〉‘を'『疲れさせる』,疲労させる / 〈人など〉‘を'『飽きさせる』,うんざりさせる / 疲れる / (…に)飽きる《+of+名(doing)》
tiro	 =tyro 
toad	 ヒキガェル,大形のカエル 
toed	 足指のある / 《複合語を作って》足指が…の:five-toed 足指が5本の
toga	 トーガ(古代ローマ市民の着たゆるやかな外衣) 
toil	 『骨折って(精を出して)働く』,(…を)精を出してする《+at+名(doing)》 / 骨折って進む《+along(on,over,through,up)+名》 / 『骨折り仕事』,苦労(類語) 
toke	 マリファナたばこの一服 / 〈マリファナたばこ〉‘を'吸う,‘に'火をつける
told	 tell の過去・過去分詞 
tomb	 『墓』(grave);(一般に)埋葬場所 
tome	 大冊,大著 
tone	 〈C〉(高さ・音色・長さ・音量の点から見た)『音』 / 〈C〉〈U〉音質 / 〈C〉楽音;全音程 / 〈C〉《しばしば複数形で》『言い方,書き方』,口調,語調 / 〈C〉支配的な(一般的な)風潮(傾向) / 〈U〉(筋肉などの緊張の)『正常な状態』 / 〈C〉『色調』,色合い,濃淡,明暗 / (音・色などで)…‘に'『ある調子(口調,色合い)をつける』 / …‘の'色を変える,色を補正する 
tong	 在米中国人の友愛団体 
tope	 酒びたりになる / 〈酒〉‘を'ひどく(常に)飲む
tops	 《補語にのみ用いて》《米話》最上の,最高の 
tore	 tear の過去 
torn	 tear の過去分詞 
tour	 (数か所に立ち寄る比較的長期の)(…の)『観光旅行』《+around(《英》round)(through,in,of)+名》・(特に,見学,観光などの)(…の)『小旅行』《+around(《英》round)(through,in,of)+名》・(劇団の)巡業,演奏旅行・(外地の一定の場所での)服務期間・…を旅行する・ / (…を)旅行する《+at(in,through,around(《英》round))+名》
town	 〈C〉町 / 《the~;一つの町を指して言うとき a~》(田舎と区別して)『都会』;都会生活 / 《冠詞をつけずに》都心,(商店の立ち並ぶ)下町 / 《冠詞をつけずに》(ある地域の)主要な町(市);(一国の)首都 / 《the~》《集合的に;単数扱い》町の人たち,町民 
trad	 トラッド(1920年代にニューオリンズに発生したジャズの一形式) 
tram	 《英》(また tramcar)=streetcar / 〈C〉(鉱山用の)四輪運搬車,トロッコ
trap	 (獲物をとる)『わな』 / (人を陥れる)わな,計略,策略 / 防臭弁(水をためて臭気を防ぐ排水管のUまたはS字刑の部分) / トラップ(クレイ射撃で標的の粘土のハトを飛ばす装置) / (犬の競走で)犬の飛び出し口 / 《おもに英》軽二輪馬車 / 《俗》口 / 《複数形で》打楽器[類] / 〈動物〉‘を'わなに掛ける / 〈人〉‘を'計略に掛ける,‘に'いっぱい食わせる / 〈ガス・液体など〉‘を'防臭弁で防ぐ;…‘を'ふさぐ,さえぎる / わなを仕掛ける
tray	 浅いへりのついた平たい容器,(料理などを運んだり盛ったりするための)『盆』,皿 / (机上書類用の)整理箱 / (また tearful)盆(皿)一杯[の量] 
trek	 長くつらい旅をする / 長くつらい旅
trey	 (カード・さいころで)3[の目];3点の札 
trig	 きちんとした,こぎれいな / 元気な,健康な
trim	 (切ったり刈ったりして)…‘の'『形を整える』,‘を'こぎれいにする,手入れする / 〈余分なものなど〉‘を'切り取る,摘み取る《+名+off,+off+名》 / (…で)…‘を'飾る,‘に'飾りを付ける《+名+with+名》 / (航行するために)〈帆〉‘を'調節する,適帆する / (積み荷などを整理して)〈船・飛行機など〉‘の'つり合いを取る / 《話》(スポーツなどで)…‘を'完全に負かす,徹底的にやっつける / 〈意見・方針など〉‘を'都合のよいように変える / …‘を'削除する,削減する / 〈U〉《しばしば》刈り(切り)整えること / 〈U〉『整頓』,整備;(心身の)良好な調子 / 〈U〉装飾;(衣服・ドア・窓などの)縁取り装飾,木造部;(自動車などの)内装,外装 / 『きちんとした』,整った,こぎれいな,均整のとれた
trio	 三ツ組,3人組 / 三重唱[曲,団],三重奏[曲,団]
trip	 (一般に)『旅行』,旅 / (用件での)出張,通勤 / つまずき,踏みはずし / 過ち,失策 / (機械の)掛けはずし装置 / 《俗》(麻薬の)陶酔感(幻覚症状)の間 / (…に)『つまずく』,よろめく《+over(on)+名》 / (…を)間違える,誤る,しくじる《+over(on)+名》 / 《副詞[句]を伴って》軽快な足どりで歩く / 《俗》(麻薬で) 幻覚症状に陥る《+out》 / …‘を'『つまずかせる』《+名+up,+up+名》 / 〈人〉‘を'失敗させる,しくじらせる;〈人〉‘の'揚げ足を取る,あら捜しをする《+名+up,+up+名》 / 〈止め金・クラッチなど〉‘を'急にはずす,はずして作動させる 
trod	 treadの過去・過去分詞 
trow	 =believe, think　信じる　思う 
true	 『ほんとうの』,真実の / 『本物の』,正真正銘の(real) / 『誠実な』,忠実な,忠誠な(faithful) / 心からの,うそ偽りのない / 寸分違わない,正確に一致する,適合する / 正当な,適正な,正しい(proper) / 間違いない,確実な / <機械・器具などが>正確にできた,正しい位置にある;<声などが>正しい調子の / うそをつかないで,正直に / 寸分違わないように,確実に / 先祖の型どおりに / …‘を'正しく調整する《+up+名,+名+up》
trug	 (庭園で)花・道具を入れるかご 
tsar	 =czar 
tuba	 チューバ(低音の大型金管楽器) 
tube	 (金属・ガラス・ゴムなどの)管,筒 / (絵の具・歯みがきなどの)チューブ / 《米》(列車・地下鉄の)トンネル / 《英》地下鉄(《米》subway) / (ラジオ・テレビなどの)真空管(vacuum tube) / (動植物の)管状器官
tuck	 《状態・方向を表す副詞[句]を伴って》(保護・安全などのために)…‘を'『押し込む』,つめ込む / 《状態・方向を表す副詞[句]を伴って》…[の端(すそ)]‘を'『差し込む』,折り込む / 〈衣服など〉‘に'縫いひだ(タック)をつける / 〈C〉(そで・すそなどの)縫いひだ,タック,上げ / 〈U〉《英》(学童などが食べる)食物,(特に)菓子類 / 〈U〉《米》元気,精力
tufa	 トゥファ(温泉などに沈殿した炭酸石灰から成る多孔質の石灰石) 
tuna	 〈C〉(また tunny)マグロ / (また tunny, tuna fish)マグロの肉
tune	 (音楽の)『曲』,節(ふし),メロディー(melody) / 〈楽器〉‘の'調子を合わせる,‘を'調律する《+up+名,+名+up》 / 〈エンジンなど〉‘を'調整する《+up+名,+名+up》 / (…に)〈受信機〉‘を'同調させる,‘の'波長を合わせる《+名+to+名》
turd	 《禁句》糞,くそ / 《俗》いやなやつ
turf	 芝土,芝地 / 〈C〉(移植用などに切り取った)芝土の一片 / 〈C〉(燃料用の)泥炭塊 / 《the ~》競馬場,競馬
turn	 …‘を'『回す』,回転させる / 〈角など〉‘を'『曲がる』,迂回(うかい)する / …‘を'『ひっくり返す』,裏返す / …‘の'『向きを変える』,‘を'方向転換させる / …‘を'向ける / …‘を'『変化させる』,変質(変色)させる / …‘を'行かせる,追い払う / 〈ある年齢・時刻・数量など〉‘を'越す,過ぎる / 《副詞[句]を伴って》…‘を'乱す,めちゃめちゃにする / 〈胃〉‘を'むかつかせる;〈心・頭など〉‘を'混乱させる,狂わせる / …‘を'折る,曲げる,ねじる;〈足首〉‘を'くじく / …‘に'丸みをつける;(旋盤・ろくろで)…‘を'作る / …‘を'きれいに形作る;〈文・曲など〉‘を'うまく作る / 〈商品・資金〉‘を'回転させる;〈利益〉‘を'あげる / 〈土・畑など〉‘を'掘り返す(plow) / (何かを軸・中心にして)『回る』,回転する / (…に)『進路を変える』;〈道路などが〉(…に)曲がる;折れる;〈風などが〉(…に)向きを変える《+to(toward)+名》 / 〈人が〉(…に向かって)ふり向く《+toward+名》,(…から)そらす《+from+名》 / 〈人が〉ころがる,寝込りを打つ / 〈物が〉さかさになる,裏返しになる / (…に)心(注意など)を向ける《+to+名》;(…から)心(注意など)をそらす《+from+名》 / 変わる,なる / 〈木の葉などが〉変色する;〈牛乳などが〉変質する,腐敗する / 〈胃が〉むかつく;〈心・頭が〉混乱する,変になる;〈頭が〉ふらつく / 〈パイプなどが〉曲がる,たわむ / 〈C〉『回転』,回ること / 〈C〉『方向転換』,曲がること,折り返し / 〈C〉曲がり目;曲がり角,折り返し点 / 〈C〉《a turn》(状況などの)変化,転機;《the turn》(…の)変り目,転換期《+of+名》 / 〈C〉『順番』,番 / 〈C〉《a turn》一回りの散歩(ドライブ);一仕事 / 〈C〉行い,行為 / 《a turn》言い回し,言葉遣い / 〈C〉(…の)性向,気質;素質,才能《+『for』+『名』(do『ing』)》 / 〈C〉形,格好 / 〈C〉《話》(めまい・吐き気などの)発作《+of+名》 / 〈C〉《話》ショック,はっとすること / 〈C〉必要,急場 / 〈C〉見方,解釈;くふう,ひねり(twist) / 〈C〉《おもに英》(寄席などの)出し物,演芸
tush	 ちぇっ(非難を苦む不満を表す) 
tusk	 (象などの)きば / きばのような歯(突出物) / …をきばで突く(掘り返す) 
